R1,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,D9
225,0.04929147,0.03484825,0.05271395,,,,,,,0.3337596,0.3274506,0.3108488,,,,,,,0.3337596,0.3274506,0.3108488,,,,,,,1,1,1,,,,,,
240,0.05496617,0.04383622,0.05843674,,,,,,,0.2962375,0.3237717,0.2789856,,,,,,,0.2962375,0.3237717,0.2789856,,,,,,,1,1,1,,,,,,
255,0.05658693,0.0387943,0.05329571,,,,,,,0.3301001,0.2744013,0.3526103,,,,,,,0.3301001,0.2744013,0.3526103,,,,,,,1,1,1,,,,,,
270,0.06533037,0.04357531,0.03780197,,,,,,,0.3469946,0.2539149,0.3220536,,,,,,,0.3469946,0.2539149,0.3220536,,,,,,,1,1,1,,,,,,
285,,0.04314016,0.03632648,,,,,,,,0.2397797,0.2758894,,,,,,,,0.2397797,0.2758894,,,,,,,,1,1,,,,,,
300,,0.03517868,0.05015652,,,,,,,,0.2352857,0.2148595,,,,,,,,0.2352857,0.2148595,,,,,,,,1,1,,,,,,
315,,0.04300531,0.03976696,,,,,,,,0.2619096,0.2415938,,,,,,,,0.2619096,0.2415938,,,,,,,,1,1,,,,,,
330,,0.04345931,0.05477863,,,,,,,,0.225288,0.2620814,,,,,,,,0.23097,0.2630549,,,,,,,,1,1,,,,,,
R6,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,D9
0,0.709694,0.709694,,,,,,,,0.994834,0.994834,,,,,,,,0.994834,0.994834,,,,,,,,1,1,,,,,,,
15,0.3630451,0.2881135,,,,,,,,0.8906381,0.8354032,,,,,,,,0.8906381,0.8354032,,,,,,,,1,1,,,,,,,
30,0.2148028,0.2513662,,,,,,,,0.7085909,0.7834688,,,,,,,,0.7085909,0.7834688,,,,,,,,1,1,,,,,,,
45,,0.2028954,,,,,,,,,0.6532784,,,,,,,,,0.6532784,,,,,,,,,1,,,,,,,
60,0.2176436,0.1629346,,,,,,,,0.6680837,0.6026556,,,,,,,,0.6680837,0.6026556,,,,,,,,1,1,,,,,,,
75,0.2203483,0.2029023,,,,,,,,0.6555504,0.5784709,,,,,,,,0.6555504,0.5784709,,,,,,,,1,1,,,,,,,
90,0.1370634,0.2048402,,,,,,,,0.3872997,0.4958909,,,,,,,,0.3872997,0.4958909,,,,,,,,1,1,,,,,,,
105,0.1479288,0.2118681,,,,,,,,0.3774975,0.5624413,,,,,,,,0.3774975,0.5624413,,,,,,,,1,1,,,,,,,
120,0.1591496,0.1617021,,,,,,,,0.3897571,0.4290348,,,,,,,,0.3897571,0.4290348,,,,,,,,1,1,,,,,,,
135,0.1056562,0.1720294,,,,,,,,0.2702604,0.3929149,,,,,,,,0.2702604,0.3929149,,,,,,,,1,1,,,,,,,
150,0.1432861,0.1595498,,,,,,,,0.3007464,0.3706304,,,,,,,,0.3007464,0.3706304,,,,,,,,1,1,,,,,,,
165,0.1204423,,,,,,,,,0.2791831,,,,,,,,,0.2791831,,,,,,,,,1,,,,,,,,
180,0.1720838,0.186753,,,,,,,,0.3466175,0.3286346,,,,,,,,0.3466175,0.3286346,,,,,,,,1,1,,,,,,,
